Species	SRA	Percent
Arabidopsis	ERR1588804	74.66
Arabidopsis	ERR1588880	74.64
Arabidopsis	SRR3383788	74.59
Arabidopsis	ERR1588851	74.55
Arabidopsis	SRR4015214	74.51
Arabidopsis	SRR10541008	74.51
Arabidopsis	SRR16090794	74.46
Arabidopsis	ERR1589009	74.44
Arabidopsis	SRR3383425	74.42
Arabidopsis	SRR4015215	74.41
Arabidopsis	ERR1588949	74.40
Arabidopsis	SRR2086168	74.36
Arabidopsis	SRR8368635	74.34
Arabidopsis	SRR8368638	74.31
Arabidopsis	SRR2086167	74.29
Arabidopsis	SRR8368639	74.28
Arabidopsis	SRR12687368	74.26
Arabidopsis	ERR1588802	74.25
Arabidopsis	SRR3657710	74.24
Arabidopsis	SRR4015227	74.21
Arabidopsis	SRR15294155	74.21
Arabidopsis	SRR10541003	74.17
Arabidopsis	SRR3383789	74.14
Arabidopsis	ERR1588933	74.07
Arabidopsis	ERR1588972	74.02
Arabidopsis	SRR4015229	74.00
Arabidopsis	SRR4015213	73.95
Arabidopsis	SRR4015212	73.92
Arabidopsis	SRR12687378	73.88
Arabidopsis	SRR16090789	73.86
Arabidopsis	SRR4015221	73.84
Arabidopsis	ERR1588948	73.84
Arabidopsis	ERR1588840	73.83
Arabidopsis	ERR1588865	73.78
Arabidopsis	ERR1588929	73.78
Arabidopsis	SRR16090788	73.78
Arabidopsis	ERR754072	73.73
Arabidopsis	ERR1589012	73.70
Arabidopsis	SRR8368641	73.62
Arabidopsis	SRR12687363	73.59
Arabidopsis	SRR16090787	73.59
Arabidopsis	SRR12687377	73.57
Arabidopsis	SRR11972813	73.52
Arabidopsis	SRR3383787	73.42
Arabidopsis	ERR1588950	73.39
Arabidopsis	SRR12687366	73.38
Arabidopsis	ERR1588862	73.38
Arabidopsis	SRR8368637	73.34
Arabidopsis	ERR1588996	73.34
Arabidopsis	ERR1588801	73.33
Arabidopsis	SRR12687379	73.29
Arabidopsis	SRR4015232	73.27
Arabidopsis	SRR8368643	73.27
Arabidopsis	SRR12687374	73.26
Arabidopsis	SRR7637057	73.25
Arabidopsis	ERR1588797	73.24
Arabidopsis	SRR10541007	73.24
Arabidopsis	SRR4015220	73.20
Arabidopsis	SRR10541009	73.14
Arabidopsis	SRR4015226	73.13
Arabidopsis	SRR8368642	73.13
Arabidopsis	SRR10541005	73.12
Arabidopsis	SRR15294179	73.10
Arabidopsis	ERR5732377	73.09
Arabidopsis	SRR5831025	73.06
Arabidopsis	SRR5831038	72.99
Arabidopsis	SRR3657709	72.95
Arabidopsis	SRR16090785	72.89
Arabidopsis	ERR1588889	72.89
Arabidopsis	SRR12687375	72.89
Arabidopsis	SRR4015238	72.87
Arabidopsis	SRR4015218	72.87
Arabidopsis	ERR1588859	72.86
Arabidopsis	SRR4015237	72.85
Arabidopsis	ERR1588798	72.84
Arabidopsis	SRR5831047	72.82
Arabidopsis	SRR4015233	72.79
Arabidopsis	SRR4015231	72.75
Arabidopsis	SRR7851413	72.72
Arabidopsis	SRR5875659	72.71
Arabidopsis	SRR10541001	72.65
